YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 08 21 00 295  2.3  2.5 99.00 99.00 99.00 999 1011.4 999.0 999.0 999.0 99.0 99.00
2021 01 08 22 00 246  1.3  1.5 99.00 99.00 99.00 999 1011.1 999.0 999.0 999.0 99.0 99.00
2021 01 08 23 00 273  3.3  3.7 99.00 99.00 99.00 999 1011.3 999.0 999.0 999.0 99.0 99.00
2021 01 09 00 00 320  5.6  6.2 99.00 99.00 99.00 999 1011.4 999.0 999.0 999.0 99.0 99.00
2021 01 09 01 00 328  7.2  7.8 99.00 99.00 99.00 999 1011.3 999.0 999.0 999.0 99.0 99.00
2021 01 09 02 00 354  7.6  8.3 99.00 99.00 99.00 999 1011.0 999.0 999.0 999.0 99.0 99.00
2021 01 09 03 00   1  9.3 10.1 99.00 99.00 99.00 999 1010.7 999.0 999.0 999.0 99.0 99.00
2021 01 09 04 00   7  9.7 10.9 99.00 99.00 99.00 999 1009.9 999.0 999.0 999.0 99.0 99.00
2021 01 09 05 00  15  9.7 10.5 99.00 99.00 99.00 999 1009.9 999.0 999.0 999.0 99.0 99.00
2021 01 09 06 00   4 10.0 10.7 99.00 99.00 99.00 999 1009.2 999.0 999.0 999.0 99.0 99.00
2021 01 09 07 00   7  9.7 10.8 99.00 99.00 99.00 999 1009.9 999.0 999.0 999.0 99.0 99.00
2021 01 09 08 00   4 10.0 11.0 99.00 99.00 99.00 999 1009.6 999.0 999.0 999.0 99.0 99.00
2021 01 09 09 00   0 10.2 11.4 99.00 99.00 99.00 999 1009.3 999.0 999.0 999.0 99.0 99.00
2021 01 09 10 00 359 10.6 11.5 99.00 99.00 99.00 999 1008.9 999.0 999.0 999.0 99.0 99.00
2021 01 09 11 00 359 10.6 11.5 99.00 99.00 99.00 999 1009.1 999.0 999.0 999.0 99.0 99.00
2021 01 09 12 00 358 10.6 11.6 99.00 99.00 99.00 999 1009.5 999.0 999.0 999.0 99.0 99.00
2021 01 09 13 00   2 11.0 12.2 99.00 99.00 99.00 999 1009.8 999.0 999.0 999.0 99.0 99.00
2021 01 09 14 00 357 10.4 11.6 99.00 99.00 99.00 999 1010.0 999.0 999.0 999.0 99.0 99.00
2021 01 09 15 00 355  9.3 10.1 99.00 99.00 99.00 999 1010.1 999.0 999.0 999.0 99.0 99.00
2021 01 09 16 00 358  8.8 10.0 99.00 99.00 99.00 999 1009.7 999.0 999.0 999.0 99.0 99.00
2021 01 09 17 00 357  8.3  9.1 99.00 99.00 99.00 999 1009.3 999.0 999.0 999.0 99.0 99.00
2021 01 09 18 00 358  8.5 10.3 99.00 99.00 99.00 999 1008.9 999.0 999.0 999.0 99.0 99.00
2021 01 09 19 00 354 11.0 12.8 99.00 99.00 99.00 999 1008.7 999.0 999.0 999.0 99.0 99.00
2021 01 09 20 00 358  4.3  5.1 99.00 99.00 99.00 999 1009.6 999.0 999.0 999.0 99.0 99.00
2021 01 09 21 00 357  5.9  7.3 99.00 99.00 99.00 999 1010.1 999.0 999.0 999.0 99.0 99.00
2021 01 09 22 00  13  4.3  5.3 99.00 99.00 99.00 999 1010.7 999.0 999.0 999.0 99.0 99.00
2021 01 09 23 00  15  6.0  6.7 99.00 99.00 99.00 999 1011.2 999.0 999.0 999.0 99.0 99.00
2021 01 10 00 00   0  6.1  7.1 99.00 99.00 99.00 999 1011.9 999.0 999.0 999.0 99.0 99.00
2021 01 10 01 00 359  6.8  7.8 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2021 01 10 02 00 350  8.1  9.1 99.00 99.00 99.00 999 1012.3 999.0 999.0 999.0 99.0 99.00
2021 01 10 03 00 348  7.3  8.0 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2021 01 10 04 00 343  8.8 10.0 99.00 99.00 99.00 999 1013.0 999.0 999.0 999.0 99.0 99.00
